nodeA,nodeB,Type
7865651,mac,containPlat
7865651,Win,containPlat
7865651,win,containPlat
7865651,Windows,containPlat
7865651,Window,containPlat
1574205,Mac,containPlat
1574205,win,containPlat
1342,iOS,containPlat
27526468,iOS,containPlat
27526468,ios,containPlat
27526468,Android,containPlat
27526468,win,containPlat
27526468,android,containPlat
27526468,CE,containPlat
1351,win,containPlat
13108554,Android,containPlat
13108554,CE,containPlat
1357,CE,containPlat
1357,win,containPlat
1358,mac,containPlat
1358,win,containPlat
1358,OS X,containPlat
263505,CE,containPlat
1362,CE,containPlat
1362,win,containPlat
9700695,win,containPlat
9700695,unix,containPlat
11797849,Android,containPlat
11797849,Android 2.2,containPlat
11797849,Android 2,containPlat
1373,CE,containPlat
1373,win,containPlat
1376,CE,containPlat
1376,win,containPlat
15205735,iOS,containPlat
15205735,Android,containPlat
15205735,Win,containPlat
15205735,Windows 8,containPlat
15205735,Android Wear,containPlat
15205735,Windows,containPlat
15205735,Window,containPlat
26215775,win,containPlat
31982954,CE,containPlat
1395,UNIX,containPlat
1395,CE,containPlat
1395,win,containPlat
14943608,Android,containPlat
6292862,win,containPlat
3671423,Windows Server,containPlat
3671423,windows,containPlat
3671423,Win,containPlat
3671423,win,containPlat
3671423,Windows 7,containPlat
3671423,Mac,containPlat
3671423,Windows,containPlat
3671423,Window,containPlat
3671423,CE,containPlat
1411,CE,containPlat
1411,win,containPlat
1412,iOS,containPlat
1424,IE6,containPlat
21759378,CE,containPlat
21759378,win,containPlat
13632918,Android,containPlat
1431,win,containPlat
25953691,Android,containPlat
25953691,CE,containPlat
25953691,android,containPlat
1448,Linux,containPlat
1448,OS-X,containPlat
1448,osx,containPlat
1448,Mac OSX,containPlat
1448,mac,containPlat
1448,Win,containPlat
1448,OSX,containPlat
1448,GNU,containPlat
1448,Mac,containPlat
1448,Windows,containPlat
1448,Window,containPlat
1448,MacOS,containPlat
1448,OS X,containPlat
1448,Mac OS,containPlat
1449,CE,containPlat
1449,win,containPlat
1453,win,containPlat
1465,iOS,containPlat
1465,CE,containPlat
1465,win,containPlat
3147196,Android,containPlat
1481,windows/,containPlat
1481,Win,containPlat
1481,win,containPlat
1481,windows,containPlat
1481,Windows,containPlat
1481,Window,containPlat
1490,GNU,containPlat
1490,windows,containPlat
1490,win,containPlat
1836507,IE6,containPlat
1836507,win,containPlat
1500,iOS,containPlat
1500,Linux,containPlat
1500,Android,containPlat
1500,Win,containPlat
1500,Windows,containPlat
1500,Window,containPlat
