NodeA,id,Type
22044770,13403042,mention
22044929,13403042,mention
22044929,13403042,mention
22044953,13403042,mention
22045001,13403042,mention
22045001,13403042,mention
16540411,13403042,mention
6841858,13403042,mention
6841858,13403042,mention
12347361,13403042,mention
12347361,13403042,mention
19425361,13403042,mention
28076366,13403042,mention
28076366,13403042,mention
22833631,13403042,mention
22047227,13403042,mention
22047227,13403042,mention
10513044,13403042,mention
22047996,13403042,mention
22047996,13403042,mention
22047996,13403042,mention
15756807,13403042,mention
28864018,13403042,mention
28864018,13403042,mention
28864018,13403042,mention
21261866,13403042,mention
29126261,13403042,mention
29126261,13403042,mention
22048383,13403042,mention
553538,13403042,mention
22049756,13403042,mention
22049756,13403042,mention
22050080,13403042,mention
10253791,13403042,mention
10253791,13403042,mention
13662452,13403042,mention
13662452,13403042,mention
31226115,13403042,mention
31226115,13403042,mention
3963875,13403042,mention
29654043,13403042,mention
11828462,13403042,mention
22052389,13403042,mention
22052389,13403042,mention
9469620,13403042,mention
9469620,13403042,mention
10780349,13403042,mention
10780349,13403042,mention
11042867,13403042,mention
22053308,13403042,mention
24150610,13403042,mention
11830003,13403042,mention
11830003,13403042,mention
27296861,13403042,mention
27296861,13403042,mention
3180362,13403042,mention
3180362,13403042,mention
26511493,13403042,mention
28347186,13403042,mention
28347186,13403042,mention
20222230,13403042,mention
29135131,13403042,mention
29921630,13403042,mention
2920869,13403042,mention
29659603,13403042,mention
29659603,13403042,mention
28873233,13403042,mention
37887,13403042,mention
9475333,13403042,mention
9475333,13403042,mention
11572918,13403042,mention
22058911,13403042,mention
22058911,13403042,mention
22058911,13403042,mention
19175345,13403042,mention
5806164,13403042,mention
